customer_id,churn_probability,churn_predicted,risk_tier,monthly_mrr,mrr_at_risk,recommended_action
CUST_04413,0.7937,1,CRITICAL,29,23.02,Immediate CSM outreach + retention offer
CUST_00665,0.7933,1,CRITICAL,199,157.86,Immediate CSM outreach + retention offer
CUST_03241,0.7918,1,CRITICAL,199,157.57,Immediate CSM outreach + retention offer
CUST_01473,0.7911,1,CRITICAL,499,394.75,Immediate CSM outreach + retention offer
CUST_01772,0.7907,1,CRITICAL,79,62.47,Immediate CSM outreach + retention offer
CUST_03101,0.7898,1,CRITICAL,499,394.09,Immediate CSM outreach + retention offer
CUST_02841,0.7898,1,CRITICAL,79,62.4,Immediate CSM outreach + retention offer
CUST_04070,0.7892,1,CRITICAL,199,157.05,Immediate CSM outreach + retention offer
CUST_01867,0.7891,1,CRITICAL,29,22.88,Immediate CSM outreach + retention offer
CUST_03488,0.7871,1,CRITICAL,29,22.83,Immediate CSM outreach + retention offer
CUST_00623,0.7868,1,CRITICAL,199,156.57,Immediate CSM outreach + retention offer
CUST_02769,0.7858,1,CRITICAL,199,156.38,Immediate CSM outreach + retention offer
CUST_03341,0.7845,1,CRITICAL,79,61.98,Immediate CSM outreach + retention offer
CUST_00383,0.7843,1,CRITICAL,29,22.74,Immediate CSM outreach + retention offer
CUST_01225,0.784,1,CRITICAL,79,61.94,Immediate CSM outreach + retention offer
CUST_00402,0.7837,1,CRITICAL,499,391.07,Immediate CSM outreach + retention offer
CUST_00043,0.7836,1,CRITICAL,199,155.94,Immediate CSM outreach + retention offer
CUST_03620,0.7804,1,CRITICAL,499,389.43,Immediate CSM outreach + retention offer
CUST_01447,0.7801,1,CRITICAL,79,61.63,Immediate CSM outreach + retention offer
CUST_00748,0.78,1,CRITICAL,499,389.24,Immediate CSM outreach + retention offer
CUST_00897,0.7796,1,CRITICAL,29,22.61,Immediate CSM outreach + retention offer
CUST_04962,0.7789,1,CRITICAL,79,61.54,Immediate CSM outreach + retention offer
CUST_01125,0.7788,1,CRITICAL,199,154.99,Immediate CSM outreach + retention offer
CUST_04984,0.778,1,CRITICAL,199,154.81,Immediate CSM outreach + retention offer
CUST_00727,0.7772,1,CRITICAL,29,22.54,Immediate CSM outreach + retention offer
CUST_01401,0.7762,1,CRITICAL,199,154.46,Immediate CSM outreach + retention offer
CUST_02276,0.7739,1,CRITICAL,29,22.44,Immediate CSM outreach + retention offer
CUST_04959,0.7726,1,CRITICAL,29,22.41,Immediate CSM outreach + retention offer
CUST_00437,0.7722,1,CRITICAL,199,153.67,Immediate CSM outreach + retention offer
CUST_00405,0.7721,1,CRITICAL,199,153.65,Immediate CSM outreach + retention offer
CUST_01432,0.7719,1,CRITICAL,199,153.6,Immediate CSM outreach + retention offer
CUST_00091,0.7698,1,CRITICAL,29,22.32,Immediate CSM outreach + retention offer
CUST_01689,0.7685,1,CRITICAL,29,22.29,Immediate CSM outreach + retention offer
CUST_04306,0.7678,1,CRITICAL,29,22.27,Immediate CSM outreach + retention offer
CUST_01966,0.7675,1,CRITICAL,199,152.73,Immediate CSM outreach + retention offer
CUST_03947,0.7674,1,CRITICAL,499,382.94,Immediate CSM outreach + retention offer
CUST_00595,0.7669,1,CRITICAL,79,60.59,Immediate CSM outreach + retention offer
CUST_02923,0.7668,1,CRITICAL,29,22.24,Immediate CSM outreach + retention offer
CUST_00228,0.7667,1,CRITICAL,29,22.23,Immediate CSM outreach + retention offer
CUST_01163,0.7654,1,CRITICAL,79,60.47,Immediate CSM outreach + retention offer
CUST_04948,0.7652,1,CRITICAL,79,60.45,Immediate CSM outreach + retention offer
CUST_03279,0.7649,1,CRITICAL,29,22.18,Immediate CSM outreach + retention offer
CUST_01776,0.7647,1,CRITICAL,199,152.17,Immediate CSM outreach + retention offer
CUST_01155,0.7645,1,CRITICAL,29,22.17,Immediate CSM outreach + retention offer
CUST_01986,0.764,1,CRITICAL,79,60.36,Immediate CSM outreach + retention offer
CUST_00614,0.7633,1,CRITICAL,79,60.3,Immediate CSM outreach + retention offer
CUST_02290,0.7623,1,CRITICAL,199,151.7,Immediate CSM outreach + retention offer
CUST_02332,0.7622,1,CRITICAL,499,380.32,Immediate CSM outreach + retention offer
CUST_00912,0.7622,1,CRITICAL,199,151.68,Immediate CSM outreach + retention offer
CUST_00078,0.7621,1,CRITICAL,79,60.21,Immediate CSM outreach + retention offer
CUST_01074,0.762,1,CRITICAL,29,22.1,Immediate CSM outreach + retention offer
CUST_03157,0.7614,1,CRITICAL,79,60.15,Immediate CSM outreach + retention offer
CUST_02766,0.7608,1,CRITICAL,29,22.06,Immediate CSM outreach + retention offer
CUST_02560,0.7594,1,CRITICAL,199,151.12,Immediate CSM outreach + retention offer
CUST_01468,0.7593,1,CRITICAL,499,378.89,Immediate CSM outreach + retention offer
CUST_02896,0.7592,1,CRITICAL,199,151.07,Immediate CSM outreach + retention offer
CUST_01379,0.7592,1,CRITICAL,199,151.09,Immediate CSM outreach + retention offer
CUST_00881,0.759,1,CRITICAL,79,59.96,Immediate CSM outreach + retention offer
CUST_04308,0.7588,1,CRITICAL,29,22.01,Immediate CSM outreach + retention offer
CUST_02090,0.7585,1,CRITICAL,29,22.0,Immediate CSM outreach + retention offer
CUST_04022,0.7579,1,CRITICAL,79,59.88,Immediate CSM outreach + retention offer
CUST_02045,0.7567,1,CRITICAL,79,59.78,Immediate CSM outreach + retention offer
CUST_03892,0.7565,1,CRITICAL,499,377.49,Immediate CSM outreach + retention offer
CUST_03441,0.7564,1,CRITICAL,29,21.94,Immediate CSM outreach + retention offer
CUST_00096,0.7559,1,CRITICAL,199,150.42,Immediate CSM outreach + retention offer
CUST_00903,0.7554,1,CRITICAL,79,59.68,Immediate CSM outreach + retention offer
CUST_02699,0.7553,1,CRITICAL,29,21.9,Immediate CSM outreach + retention offer
CUST_03666,0.7552,1,CRITICAL,199,150.29,Immediate CSM outreach + retention offer
CUST_01861,0.7536,1,CRITICAL,499,376.06,Immediate CSM outreach + retention offer
CUST_04475,0.7527,1,CRITICAL,199,149.8,Immediate CSM outreach + retention offer
CUST_00882,0.7515,1,CRITICAL,79,59.37,Immediate CSM outreach + retention offer
CUST_02852,0.7506,1,CRITICAL,199,149.37,Immediate CSM outreach + retention offer
CUST_03053,0.7505,1,CRITICAL,199,149.34,Immediate CSM outreach + retention offer
CUST_02608,0.7505,1,CRITICAL,29,21.76,Immediate CSM outreach + retention offer
CUST_03326,0.7501,1,CRITICAL,29,21.75,Immediate CSM outreach + retention offer
CUST_02580,0.75,1,CRITICAL,199,149.26,Immediate CSM outreach + retention offer
CUST_03243,0.7487,1,CRITICAL,79,59.15,Immediate CSM outreach + retention offer
CUST_01500,0.7487,1,CRITICAL,29,21.71,Immediate CSM outreach + retention offer
CUST_03617,0.7483,1,CRITICAL,29,21.7,Immediate CSM outreach + retention offer
CUST_02186,0.748,1,CRITICAL,79,59.09,Immediate CSM outreach + retention offer
CUST_04995,0.748,1,CRITICAL,199,148.86,Immediate CSM outreach + retention offer
CUST_00217,0.7476,1,CRITICAL,199,148.76,Immediate CSM outreach + retention offer
CUST_00553,0.7458,1,CRITICAL,79,58.92,Immediate CSM outreach + retention offer
CUST_02950,0.7451,1,CRITICAL,499,371.8,Immediate CSM outreach + retention offer
CUST_04447,0.7431,1,CRITICAL,199,147.88,Immediate CSM outreach + retention offer
CUST_04997,0.7429,1,CRITICAL,499,370.73,Immediate CSM outreach + retention offer
CUST_00230,0.7419,1,CRITICAL,199,147.64,Immediate CSM outreach + retention offer
CUST_00226,0.7419,1,CRITICAL,79,58.61,Immediate CSM outreach + retention offer
CUST_01939,0.7417,1,CRITICAL,29,21.51,Immediate CSM outreach + retention offer
CUST_04574,0.7417,1,CRITICAL,79,58.59,Immediate CSM outreach + retention offer
CUST_01978,0.7412,1,CRITICAL,199,147.49,Immediate CSM outreach + retention offer
CUST_04159,0.7409,1,CRITICAL,79,58.53,Immediate CSM outreach + retention offer
CUST_04422,0.7409,1,CRITICAL,79,58.53,Immediate CSM outreach + retention offer
CUST_02019,0.7407,1,CRITICAL,199,147.41,Immediate CSM outreach + retention offer
CUST_00780,0.7406,1,CRITICAL,199,147.37,Immediate CSM outreach + retention offer
CUST_04813,0.7399,1,CRITICAL,199,147.24,Immediate CSM outreach + retention offer
CUST_00415,0.7397,1,CRITICAL,79,58.44,Immediate CSM outreach + retention offer
CUST_02487,0.7397,1,CRITICAL,499,369.11,Immediate CSM outreach + retention offer
CUST_04723,0.7396,1,CRITICAL,199,147.18,Immediate CSM outreach + retention offer
CUST_02561,0.7394,1,CRITICAL,199,147.14,Immediate CSM outreach + retention offer
CUST_02084,0.7392,1,CRITICAL,79,58.4,Immediate CSM outreach + retention offer
CUST_01331,0.7391,1,CRITICAL,199,147.08,Immediate CSM outreach + retention offer
CUST_01255,0.7391,1,CRITICAL,79,58.39,Immediate CSM outreach + retention offer
CUST_02344,0.7391,1,CRITICAL,79,58.39,Immediate CSM outreach + retention offer
CUST_04576,0.7386,1,CRITICAL,199,146.98,Immediate CSM outreach + retention offer
CUST_03581,0.7378,1,CRITICAL,199,146.83,Immediate CSM outreach + retention offer
CUST_02328,0.7376,1,CRITICAL,29,21.39,Immediate CSM outreach + retention offer
CUST_03496,0.737,1,CRITICAL,499,367.76,Immediate CSM outreach + retention offer
CUST_03474,0.7362,1,CRITICAL,199,146.51,Immediate CSM outreach + retention offer
CUST_03184,0.736,1,CRITICAL,29,21.35,Immediate CSM outreach + retention offer
CUST_02288,0.7359,1,CRITICAL,499,367.24,Immediate CSM outreach + retention offer
CUST_04535,0.7355,1,CRITICAL,79,58.11,Immediate CSM outreach + retention offer
CUST_00315,0.7353,1,CRITICAL,79,58.09,Immediate CSM outreach + retention offer
CUST_01428,0.7352,1,CRITICAL,29,21.32,Immediate CSM outreach + retention offer
CUST_02811,0.7351,1,CRITICAL,29,21.32,Immediate CSM outreach + retention offer
CUST_02579,0.7341,1,CRITICAL,199,146.09,Immediate CSM outreach + retention offer
CUST_03336,0.7334,1,CRITICAL,499,365.95,Immediate CSM outreach + retention offer
CUST_04510,0.7327,1,CRITICAL,79,57.88,Immediate CSM outreach + retention offer
CUST_00806,0.7323,1,CRITICAL,29,21.24,Immediate CSM outreach + retention offer
CUST_01480,0.7323,1,CRITICAL,79,57.85,Immediate CSM outreach + retention offer
CUST_04351,0.7318,1,CRITICAL,29,21.22,Immediate CSM outreach + retention offer
CUST_03867,0.7306,1,CRITICAL,79,57.72,Immediate CSM outreach + retention offer
CUST_03971,0.7305,1,CRITICAL,79,57.71,Immediate CSM outreach + retention offer
CUST_02437,0.7303,1,CRITICAL,29,21.18,Immediate CSM outreach + retention offer
CUST_01170,0.7301,1,CRITICAL,29,21.17,Immediate CSM outreach + retention offer
CUST_00680,0.7298,1,CRITICAL,29,21.17,Immediate CSM outreach + retention offer
CUST_01280,0.7292,1,CRITICAL,199,145.11,Immediate CSM outreach + retention offer
CUST_03552,0.729,1,CRITICAL,79,57.59,Immediate CSM outreach + retention offer
CUST_02850,0.7281,1,CRITICAL,29,21.12,Immediate CSM outreach + retention offer
CUST_01213,0.727,1,CRITICAL,79,57.43,Immediate CSM outreach + retention offer
CUST_03156,0.7258,1,CRITICAL,199,144.44,Immediate CSM outreach + retention offer
CUST_02346,0.7257,1,CRITICAL,79,57.33,Immediate CSM outreach + retention offer
CUST_02824,0.7256,1,CRITICAL,79,57.33,Immediate CSM outreach + retention offer
CUST_00735,0.725,1,CRITICAL,199,144.28,Immediate CSM outreach + retention offer
CUST_03385,0.725,1,CRITICAL,79,57.28,Immediate CSM outreach + retention offer
CUST_03658,0.7247,1,CRITICAL,29,21.02,Immediate CSM outreach + retention offer
CUST_03561,0.7237,1,CRITICAL,199,144.01,Immediate CSM outreach + retention offer
CUST_03793,0.7234,1,CRITICAL,199,143.96,Immediate CSM outreach + retention offer
CUST_04375,0.7233,1,CRITICAL,29,20.98,Immediate CSM outreach + retention offer
CUST_03644,0.7222,1,CRITICAL,79,57.06,Immediate CSM outreach + retention offer
CUST_01537,0.722,1,CRITICAL,199,143.69,Immediate CSM outreach + retention offer
CUST_00536,0.722,1,CRITICAL,29,20.94,Immediate CSM outreach + retention offer
CUST_03329,0.721,1,CRITICAL,79,56.96,Immediate CSM outreach + retention offer
CUST_04395,0.7203,1,CRITICAL,29,20.89,Immediate CSM outreach + retention offer
CUST_01157,0.7192,1,CRITICAL,199,143.12,Immediate CSM outreach + retention offer
CUST_03302,0.7179,1,CRITICAL,199,142.86,Immediate CSM outreach + retention offer
CUST_04342,0.7151,1,CRITICAL,199,142.31,Immediate CSM outreach + retention offer
CUST_02107,0.7144,1,CRITICAL,29,20.72,Immediate CSM outreach + retention offer
CUST_00302,0.7138,1,CRITICAL,199,142.05,Immediate CSM outreach + retention offer
CUST_02647,0.7138,1,CRITICAL,29,20.7,Immediate CSM outreach + retention offer
CUST_02757,0.7126,1,CRITICAL,199,141.8,Immediate CSM outreach + retention offer
CUST_02634,0.7118,1,CRITICAL,199,141.65,Immediate CSM outreach + retention offer
CUST_01259,0.7116,1,CRITICAL,29,20.64,Immediate CSM outreach + retention offer
CUST_01195,0.7113,1,CRITICAL,29,20.63,Immediate CSM outreach + retention offer
CUST_04514,0.7113,1,CRITICAL,79,56.19,Immediate CSM outreach + retention offer
CUST_01141,0.7107,1,CRITICAL,79,56.15,Immediate CSM outreach + retention offer
CUST_00341,0.7103,1,CRITICAL,499,354.45,Immediate CSM outreach + retention offer
CUST_00061,0.7096,1,CRITICAL,499,354.11,Immediate CSM outreach + retention offer
CUST_00607,0.7094,1,CRITICAL,199,141.16,Immediate CSM outreach + retention offer
CUST_02232,0.7089,1,CRITICAL,29,20.56,Immediate CSM outreach + retention offer
CUST_03713,0.7087,1,CRITICAL,79,55.99,Immediate CSM outreach + retention offer
CUST_01752,0.7083,1,CRITICAL,29,20.54,Immediate CSM outreach + retention offer
CUST_04206,0.708,1,CRITICAL,79,55.93,Immediate CSM outreach + retention offer
CUST_04678,0.7076,1,CRITICAL,79,55.9,Immediate CSM outreach + retention offer
CUST_02403,0.7076,1,CRITICAL,79,55.9,Immediate CSM outreach + retention offer
CUST_02471,0.7071,1,CRITICAL,29,20.5,Immediate CSM outreach + retention offer
CUST_04727,0.7063,1,CRITICAL,29,20.48,Immediate CSM outreach + retention offer
CUST_02031,0.7063,1,CRITICAL,29,20.48,Immediate CSM outreach + retention offer
CUST_03424,0.7057,1,CRITICAL,29,20.46,Immediate CSM outreach + retention offer
CUST_04242,0.7054,1,CRITICAL,199,140.38,Immediate CSM outreach + retention offer
CUST_01478,0.7042,1,CRITICAL,79,55.63,Immediate CSM outreach + retention offer
CUST_04221,0.7039,1,CRITICAL,79,55.61,Immediate CSM outreach + retention offer
CUST_01990,0.7037,1,CRITICAL,499,351.17,Immediate CSM outreach + retention offer
CUST_04476,0.703,1,CRITICAL,499,350.78,Immediate CSM outreach + retention offer
CUST_02497,0.7029,1,CRITICAL,199,139.88,Immediate CSM outreach + retention offer
CUST_04343,0.7028,1,CRITICAL,199,139.86,Immediate CSM outreach + retention offer
CUST_02002,0.7028,1,CRITICAL,199,139.86,Immediate CSM outreach + retention offer
CUST_03685,0.7028,1,CRITICAL,79,55.52,Immediate CSM outreach + retention offer
CUST_03250,0.7025,1,CRITICAL,499,350.53,Immediate CSM outreach + retention offer
CUST_00115,0.7012,1,CRITICAL,79,55.4,Immediate CSM outreach + retention offer
CUST_03425,0.701,1,CRITICAL,29,20.33,Immediate CSM outreach + retention offer
CUST_03792,0.701,1,CRITICAL,29,20.33,Immediate CSM outreach + retention offer
CUST_03092,0.7002,1,CRITICAL,79,55.31,Immediate CSM outreach + retention offer
CUST_04697,0.6994,1,HIGH,199,139.18,Schedule health-check call this week
CUST_01661,0.6989,1,HIGH,79,55.22,Schedule health-check call this week
CUST_01269,0.6984,1,HIGH,79,55.17,Schedule health-check call this week
CUST_02690,0.6983,1,HIGH,29,20.25,Schedule health-check call this week
CUST_02140,0.6983,1,HIGH,499,348.46,Schedule health-check call this week
CUST_01869,0.6977,1,HIGH,499,348.15,Schedule health-check call this week
CUST_01395,0.6969,1,HIGH,29,20.21,Schedule health-check call this week
CUST_04952,0.6965,1,HIGH,79,55.02,Schedule health-check call this week
CUST_04601,0.6962,1,HIGH,199,138.53,Schedule health-check call this week
CUST_00848,0.6955,1,HIGH,29,20.17,Schedule health-check call this week
CUST_04709,0.6946,1,HIGH,79,54.87,Schedule health-check call this week
CUST_00153,0.6944,1,HIGH,199,138.19,Schedule health-check call this week
CUST_00766,0.6944,1,HIGH,29,20.14,Schedule health-check call this week
CUST_03335,0.6939,1,HIGH,79,54.82,Schedule health-check call this week
CUST_02974,0.6938,1,HIGH,79,54.81,Schedule health-check call this week
CUST_04816,0.6933,1,HIGH,79,54.77,Schedule health-check call this week
CUST_04842,0.6928,1,HIGH,29,20.09,Schedule health-check call this week
CUST_00256,0.6927,1,HIGH,29,20.09,Schedule health-check call this week
CUST_04000,0.6926,1,HIGH,499,345.58,Schedule health-check call this week
CUST_01545,0.6916,1,HIGH,29,20.06,Schedule health-check call this week
CUST_00398,0.6916,1,HIGH,79,54.63,Schedule health-check call this week
CUST_00778,0.6915,1,HIGH,199,137.61,Schedule health-check call this week
CUST_00095,0.6915,1,HIGH,79,54.63,Schedule health-check call this week
CUST_04028,0.691,1,HIGH,499,344.83,Schedule health-check call this week
CUST_04571,0.6906,1,HIGH,29,20.03,Schedule health-check call this week
CUST_00758,0.6904,1,HIGH,79,54.54,Schedule health-check call this week
CUST_00389,0.6903,1,HIGH,199,137.37,Schedule health-check call this week
CUST_00991,0.6902,1,HIGH,79,54.52,Schedule health-check call this week
CUST_02414,0.6902,1,HIGH,79,54.52,Schedule health-check call this week
CUST_04766,0.6897,1,HIGH,79,54.49,Schedule health-check call this week
CUST_02506,0.6895,1,HIGH,79,54.47,Schedule health-check call this week
CUST_01231,0.689,1,HIGH,499,343.8,Schedule health-check call this week
CUST_01461,0.6888,1,HIGH,199,137.08,Schedule health-check call this week
CUST_01314,0.6884,1,HIGH,29,19.96,Schedule health-check call this week
CUST_00286,0.688,1,HIGH,499,343.33,Schedule health-check call this week
CUST_02301,0.6878,1,HIGH,79,54.33,Schedule health-check call this week
CUST_00343,0.6876,1,HIGH,29,19.94,Schedule health-check call this week
CUST_01409,0.6869,1,HIGH,499,342.74,Schedule health-check call this week
CUST_02175,0.6864,1,HIGH,79,54.23,Schedule health-check call this week
CUST_00410,0.6863,1,HIGH,199,136.58,Schedule health-check call this week
CUST_01669,0.6863,1,HIGH,29,19.9,Schedule health-check call this week
CUST_03431,0.6862,1,HIGH,79,54.21,Schedule health-check call this week
CUST_00678,0.6859,1,HIGH,199,136.49,Schedule health-check call this week
CUST_04350,0.6854,1,HIGH,29,19.88,Schedule health-check call this week
CUST_01854,0.6852,1,HIGH,29,19.87,Schedule health-check call this week
CUST_00894,0.685,1,HIGH,79,54.11,Schedule health-check call this week
CUST_03436,0.6849,1,HIGH,79,54.1,Schedule health-check call this week
CUST_01917,0.6848,1,HIGH,499,341.73,Schedule health-check call this week
CUST_01618,0.6841,1,HIGH,79,54.05,Schedule health-check call this week
CUST_01322,0.6836,1,HIGH,79,54.01,Schedule health-check call this week
CUST_04273,0.6835,1,HIGH,79,54.0,Schedule health-check call this week
CUST_02910,0.6833,1,HIGH,199,135.97,Schedule health-check call this week
CUST_00348,0.6821,1,HIGH,79,53.89,Schedule health-check call this week
CUST_01413,0.6818,1,HIGH,79,53.86,Schedule health-check call this week
CUST_03359,0.6818,1,HIGH,29,19.77,Schedule health-check call this week
CUST_03845,0.6817,1,HIGH,199,135.66,Schedule health-check call this week
CUST_00862,0.6816,1,HIGH,29,19.77,Schedule health-check call this week
CUST_02014,0.681,1,HIGH,79,53.8,Schedule health-check call this week
CUST_00826,0.6803,1,HIGH,79,53.74,Schedule health-check call this week
CUST_04145,0.6799,1,HIGH,79,53.71,Schedule health-check call this week
CUST_03110,0.6796,1,HIGH,79,53.69,Schedule health-check call this week
CUST_04513,0.6793,1,HIGH,199,135.18,Schedule health-check call this week
CUST_00345,0.6786,1,HIGH,79,53.61,Schedule health-check call this week
CUST_02672,0.678,1,HIGH,199,134.92,Schedule health-check call this week
CUST_00749,0.677,1,HIGH,199,134.73,Schedule health-check call this week
CUST_04983,0.6759,1,HIGH,499,337.29,Schedule health-check call this week
CUST_01791,0.6756,1,HIGH,29,19.59,Schedule health-check call this week
CUST_03657,0.6752,1,HIGH,29,19.58,Schedule health-check call this week
CUST_03269,0.675,1,HIGH,199,134.32,Schedule health-check call this week
CUST_02111,0.6746,1,HIGH,499,336.61,Schedule health-check call this week
CUST_02825,0.6745,1,HIGH,199,134.23,Schedule health-check call this week
CUST_04752,0.6745,1,HIGH,79,53.29,Schedule health-check call this week
CUST_02129,0.6742,1,HIGH,499,336.43,Schedule health-check call this week
CUST_00463,0.6742,1,HIGH,29,19.55,Schedule health-check call this week
CUST_01364,0.6741,1,HIGH,79,53.26,Schedule health-check call this week
CUST_01740,0.6738,1,HIGH,29,19.54,Schedule health-check call this week
CUST_04182,0.6734,1,HIGH,29,19.53,Schedule health-check call this week
CUST_02661,0.6734,1,HIGH,79,53.2,Schedule health-check call this week
CUST_04545,0.6734,1,HIGH,29,19.53,Schedule health-check call this week
CUST_00763,0.6733,1,HIGH,29,19.53,Schedule health-check call this week
CUST_03795,0.6731,1,HIGH,79,53.17,Schedule health-check call this week
CUST_00423,0.6727,1,HIGH,79,53.14,Schedule health-check call this week
CUST_01640,0.6725,1,HIGH,199,133.83,Schedule health-check call this week
CUST_04188,0.6721,1,HIGH,499,335.36,Schedule health-check call this week
CUST_03940,0.6721,1,HIGH,79,53.1,Schedule health-check call this week
CUST_01605,0.6721,1,HIGH,29,19.49,Schedule health-check call this week
CUST_01546,0.6716,1,HIGH,79,53.05,Schedule health-check call this week
CUST_02564,0.6716,1,HIGH,79,53.06,Schedule health-check call this week
CUST_03583,0.6707,1,HIGH,29,19.45,Schedule health-check call this week
CUST_03527,0.6707,1,HIGH,199,133.47,Schedule health-check call this week
CUST_04942,0.6701,1,HIGH,29,19.43,Schedule health-check call this week
CUST_04878,0.6699,1,HIGH,199,133.3,Schedule health-check call this week
CUST_01904,0.6697,1,HIGH,29,19.42,Schedule health-check call this week
CUST_02197,0.6694,1,HIGH,199,133.21,Schedule health-check call this week
CUST_03213,0.6692,1,HIGH,79,52.87,Schedule health-check call this week
CUST_00239,0.6691,1,HIGH,79,52.86,Schedule health-check call this week
CUST_00915,0.6685,1,HIGH,29,19.39,Schedule health-check call this week
CUST_02007,0.6684,1,HIGH,29,19.38,Schedule health-check call this week
CUST_00086,0.6682,1,HIGH,199,132.97,Schedule health-check call this week
CUST_04093,0.6676,1,HIGH,199,132.84,Schedule health-check call this week
CUST_04056,0.6675,1,HIGH,199,132.84,Schedule health-check call this week
CUST_03532,0.6673,1,HIGH,79,52.72,Schedule health-check call this week
CUST_00219,0.6672,1,HIGH,29,19.35,Schedule health-check call this week
CUST_03574,0.6668,1,HIGH,199,132.69,Schedule health-check call this week
CUST_00231,0.6663,1,HIGH,79,52.64,Schedule health-check call this week
CUST_01048,0.6663,1,HIGH,199,132.59,Schedule health-check call this week
CUST_03056,0.6662,1,HIGH,29,19.32,Schedule health-check call this week
CUST_01720,0.666,1,HIGH,199,132.54,Schedule health-check call this week
CUST_03751,0.6657,1,HIGH,29,19.31,Schedule health-check call this week
